msa,base,action,mil_out,civ_out,mil_in,civ_in,mil_net,civ_net,net_contractor,direct,indirect,total_job_changes,ea_employment,changes_as_percent_of_employment
"Boise City-Nampa, ID ","Metr opolitan Statistical Area Boise Air Terminal Air Guard Station",Realign,-22,-62,0,1,-22,-61,0,-83,-73,-156,314811,0.0%
"Boston-Quincy, MA Metropolitan Division","Naval Shipyard Puget Sound- Boston Detachment",Realign,0,-108,0,0,0,-108,0,-108,-105,-213,1343997,0.0%
"Bremerton-Silverdale, WA Metropolitan Statistical Area","Human Resources Support Center Northwest",Gain,0,0,0,23,0,23,0,23,24,47,119170,0.0%
"Bremerton-Silverdale, WA Metropolitan Statistical Area","Naval Station Bremerton",Gain,0,0,0,1401,0,1401,0,1401,1475,2876,119170,2.4%
"Bremerton-Silverdale, WA Metropolitan Statistical Area","Submarine Base Bangor",Realign,0,-1,0,0,0,-1,0,-1,-1,-2,119170,0.0%
"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area","Turner U.S. Army Reserve Center, Fairfield",Close,-13,-4,0,0,-13,-4,0,-17,-10,-27,578009,0.0%
"Buffalo-Niagara Falls, NY Metropolitan Statistical Area","Army National Guard Reserve Center Niagara Falls",Close,-1,0,0,0,-1,0,0,-1,0,-1,643318,0.0%
"Buffalo-Niagara Falls, NY Metropolitan Statistical Area","Navy Recruiting District Headquarters Buffalo",Close,-25,-6,0,0,-25,-6,-6,-37,-16,-53,643318,0.0%
"Buffalo-Niagara Falls, NY Metropolitan Statistical Area","Niagara Falls International Airport Air Guard Station",Close,-115,-527,0,0,-115,-527,0,-642,-430,-1072,643318,-0.2%
"Burlington-South Burlington, VT Metropolitan Statistical Area","Burlington International Airport Air Guard Station",Gain,0,0,3,53,3,53,0,56,39,95,145790,0.1%
"Cambridge-Newton-Framingham, MA Metropolitan Division","Malony U.S. Army Reserve Cente r",Close,-100,-55,0,0,-100,-55,0,-155,-87,-242,1054892,0.0%
"Cambridge-Newton-Framingham, MA Metropolitan Division","Hanscom Air Force Base",Gain,-47,-223,546,828,499,605,0,1104,662,1766,1054892,0.2%
"Cambridge-Newton-Framingham, MA Metropolitan Division","Natick Soldier Systems Center",Realign,0,-19,0,0,0,-19,0,-19,-12,-31,1054892,0.0%
"Camden, NJ Metropolitan Division","SFC Nelson V. Brittin U.S. Army Reserve Center",Close,-34,-1,0,0,-34,-1,0,-35,-29,-64,619919,0.0%
"Camden, NJ Metropolitan Division","Fort Dix",Gain,0,0,209,144,209,144,0,353,326,679,619919,0.1%
"Camden, NJ Metropolitan Division","McGuire Air Force Base",Gain,0,0,498,37,498,37,0,535,450,985,619919,0.2%
"Cape Girardeau-Jackson, MO-IL Micropolitan Statistical Area","Navy Reserve Center Cape Girardeau",Close,-7,0,0,0,-7,0,0,-7,-1,-8,59473,0.0%
"Carbondale, IL Micropolitan Statistical Area","Armed Forces Reserve Center Carbondale",Close,-32,0,0,0,-32,0,0,-32,-17,-49,38275,-0.1%
"Cedar Rapids, IA Metropolitan Statistical Area","Navy Reserve Center Cedar Rapds",Close,-7,0,0,0,-7,0,0,-7,-2,-9,162044,0.0%
"Chambersburg, PA Micropolitan Statistical Area","Letterkenny Army Depot",Gain,0,0,0,409,0,409,0,409,223,632,65783,1.0%
"Charleston, WV Metropolitan Statistical Area","Yeager Airport Air Guard Station",Realign,-27,-129,0,0,-27,-129,0,-156,-89,-245,176245,-0.1%
"Charleston-North Charleston, SC Metropolitan Statistical Area","Defense Finance and Accounting Service, Charleston",Close,0,-368,0,0,0,-368,0,-368,-607,-975,331580,-0.3%
"Charleston-North Charleston, SC Metropolitan Statistical Area","South Naval Facilities Engineering Command",Close,-6,-492,0,0,-6,-492,-45,-543,-890,-1433,331580,-0.4%
"Charleston-North Charleston, SC Metropolitan Statistical Area","Naval Weapons Station Charleston",Realign,-170,-149,45,24,-125,-125,0,-250,-379,-629,331580,-0.2%
"Charlotte-Gastonia-Concord, NC-SC Metropolitan Statistical Area","Charlotte/Douglas International Airport",Gain,0,0,6,0,6,0,0,6,2,8,936991,0.0%
"Cheyenne, WY Metropolitan Statistical Area","Army Aviation Support Facility Cheyenne",Close,-23,0,0,0,-23,0,0,-23,-10,-33,55849,-0.1%
"Cheyenne, WY Metropolitan Statistical Area","Cheyenne Airport Air Guard Station",Gain,0,0,21,58,21,58,0,79,48,127,55849,0.2%
"Chicago-Naperville-Joliet, IL Metropolitan Division","Navy Reserve Center Forest Park",Close,-15,0,0,0,-15,0,0,-15,-4,-19,4607077,0.0%
"Clarksville, TN-KY Metropolitan Statistical Area","Fort Campbell",Realign,-433,0,73,9,-360,9,0,-351,-252,-603,128456,-0.5%
"Cleveland-Elyria-Mentor, OH Metropolitan Statistical Area","Navy-Marine Corps Reserve Center Cleveland",Close,-24,-1,0,0,-24,-1,0,-25,-8,-33,1301423,0.0%
"Cleveland-Elyria-Mentor, OH Metropolitan Statistical Area","Defense Finance and Accounting Service, Cleveland",Realign,-15,-1013,0,0,-15,-1013,0,-1028,-847,-1875,1301423,-0.1%
"Clovis, NM Micropolitan Statistical Area","Cannon Air Force Base",Close,-2385,-384,0,0,-2385,-384,-55,-2824,-1955,-4779,23348,-20.5%
"Colorado Springs, CO Metropolitan Statistical Area","Leased Space - CO",Close/Realign,0,-11,0,0,0,-11,0,-11,-11,-22,349783,0.0%
"Colorado Springs, CO Metropolitan Statistical Area","Fort Carson",Gain,0,0,4178,199,4178,199,0,4377,3310,7687,349783,2.2%
"Colorado Springs, CO Metropolitan Statistical Area","Peterson Air Force Base",Gain,0,-27,482,19,482,-8,36,510,375,885,349783,0.3%
"Colorado Springs, CO Metropolitan Statistical Area","Schriever Air Force Base",Gain,0,0,44,51,44,51,0,95,85,180,349783,0.1%
"Colorado Springs, CO Metropolitan Statistical Area","United States Ai r Force Academy",Realign,-30,-9,0,0,-30,-9,-1,-40,-32,-72,349783,0.0%
"Columbia, SC Metropolitan Statistical Area","Fort Jackson",Gain,0,0,435,180,435,180,0,615,368,983,418871,0.2%
"Columbia, SC Metropolitan Statistical Area","McEntire Air Guard Station",Gain,0,0,418,8,418,8,0,426,260,686,418871,0.2%
"Columbus, GA-AL Metropolitan Statistical Area","U.S. Army Reserve Center Columbus",Close,-9,0,0,0,-9,0,0,-9,-5,-14,163565,0.0%
"Columbus, GA-AL Metropolitan Statistical Area","Fort Benning",Gain,-842,-69,10063,687,9221,618,0,9839,4003,13842,163565,8.5%
"Columbus, MS Micropolitan Statistical Area","Columbus Air Force Base",Gain,0,0,104,3,104,3,0,107,70,177,34053,0.5%
"Columbus, NE Micropolitan Statistical Area","Army National Guard Reserve Center Columbus",Close,-31,0,0,0,-31,0,0,-31,-16,-47,22545,-0.2%
"Columbus, OH Metropolitan Statistical Area","Army National Guard Reserve Center Westerville",Close,-12,0,0,0,-12,0,0,-12,-4,-16,1122033,0.0%
